Module,Command,Description,Example,explain
1,set.seed(),,
1,library(),load library,library(tidyverse)
1,install.packages(),install packages,install.packages("tidyverse")
1,data(),load dataset,data("mpg")
1,$,select one column,mpg$model
1,unique(),data clean: return dataset but with duplicate elements/rows removed,unique(mpg$model)
1,"[,]",select rows with index,"mpg[194,]"
1,[],select a range of rows and columns,"mpg[194:198,1:4]"
1,view(),shows the whole dataset in a new view,view(mpg)
1,dataset,output the first 10 rows by calling the variable name,mpg
1,c(),combine data into vectors,"age= c(20,26,27)"
1,tibble(),create a tibble with vectors,"mytibble <- tibble(student_name = c(""Sam"",""John"",""Jack""),age= c(20,26,27),height=c(170,162,172),weight=c(45.2,50.3,52.4))"
1,operator,change value by directly using operators,bmi <- weight2/(height2/100)^2
1,change,Change the entry to some value,"mytibble[3,2]<-30"
1,mutate(),add or change column,"mytibble <- mutate(mytibble,bmi = weight/(height/100)^2"
2,gather(),change the wide form into long form,"bp_long  <- gather(bp, key = ""day"", value = ""blood pressure"", day1:day3)",key: new column name. value: the value of blood pressure. 'day1:day3': which columns to convert.
2,spread(),change the long form into wide form,"spread(bp_long, key = ""day"",value = ""blood pressure"")"
2,as.integer(),change the data type into integer,TB_population$year  <- as.integer(TB_population$year)
2,bind_cols(),joins(combine) two tibbles,"TB_cases_pop  <- bind_cols(TB_cases,TB_population[""population""])"
2,dmy(),change string day-month-year into date data,today  <- dmy("20-Jun-2019")
2,month(),return the month of date,"month(today, label = TRUE)",label: shows the levels of months.
2,wday(),return the weekday of date,"wday(today, label = TRUE)",label: shows the levels of weekdays.
2,as.duration(),convert the difference between two dates into seconds,as.duration(dmy("31/12/2019") - today)
2,dweeks(),time of seven day periods,dweeks(1)
2,dhours(),time of several hours,dhours(2)
2,str_length(),shows the length of str,str_length(first_10_sentences),it can be apply to vector of strings.
2,str_c(),data clean: combine strings,"str_c(string_1,string_2)"
2,str_detect(),data clean: find which string contains some word, "str_detect(first_10_sentences,""chicken"")"
2,str_replace(),data clean: find and replace pattern,"str_replace(first_10_sentences, ""chicken"",""turkey"")"
2,str_match(),data tame: exact numbers from strings,"str_match(messy_data_weight, ""patient (\\d+): (\\d+) kg"")",\\d: match numbers. ([:alpha:]+): match words.
2,as.factor(),convert the column into a categorical variable,starwars$species  <- as.factor(starwars$species)
2,count(),count how many observations in each level,"count(starwars,species)"
2,filter(),select rows,"filter(starwars,species==""Droid"")"
2,fct_relevel(),change the order of the levels,"species_number$species  <- fct_relevel(species_number$species, ""Human"",""Wookiee"")"
2,fct_recode(),rename the value and change it into factor,"fct_recode(starwars$species, Humanoid = ""Human"", Humanoid = ""Gungan"", Humanoid = ""Wookiee"",`Electronic species` = ""Droid"")"
2,fct_lump(),grab just the most common levels of a categorical variable,"fct_lump(starwars$species, 3)",it will only shows the first 3 species
2,sample_n(),uniformly at random sample,"starwars_1  <- sample_n(starwars,50)"
2,inspect_types(),shows all the type of variables or compare two dataset,"inspect_types(starwars_1,starwars_2)"
2,inspect_num(),produce summary statistics of dataset,inspect_num(starwars_1)
2,inspect_cor(),shows correlation between the quantitative variables,correlation between the quantitative variables
2,inspect_cat(),shows summary statistics of categorical variables,inspect_cat(starwars_1)
2,inspect_na(),data tame: count all NAs in dataset,inspect_na(starwars_1)
2,read_csv(),read csv file (DO NOT USE read.csv),billboard <- read_csv("./data/billboard.csv")
